qstr_Next_Page|Наступная старонка
qstr_{s9}_asked_you_to_ra|{s9} просіць вас сабраць атрад з {s14} ў колькасці {reg1} чалавек і даставіць да яго.
qstr_{s9}_asked_you_to_co|{s9} просіць вас адправіцца ў {S3} і сабраць там падаткі. Ён сказаў, што вы можаце пакінуць сабе пятую частку ад сабраных грошай.
qstr_{s9}_asked_you_to_hu|{s9} просіць вас высачыць ўцекача па імі {s4}. У апошні раз яго бачылі ў {s3}.
qstr_{s9}_asked_you_to_as|{s9} просіць вас забіць гандляра ў {s3}.
qstr_{s9}_has_asked_you_t|{s9} просіць вас сустрэцца са шпіёнам у {s13}.
qstr_{s9}_asked_you_to_ca|{s9} просіць вас захапіць і разрабаваць {reg13} абозаў, каб справакаваць вайну з {s13}.
qstr_{s9}_asked_you_to_cat|{s9} папрасіў вас злавіць тры групы якія ўцяклі халопаў і прывесці іх у {s4} жывымі і цэлымі. Ён сказаў, што халопы накіроўваюцца ў {s3}.
qstr_{s11}_asked_you_to_f|{s11} просіць вас прайсці за шпіёнам, які адправіцца ў шлях з {s12}. Вы не павінны трапіцца шпіёну на вочы, інакш ён можа нешта западозрыць і вярнуцца. Як толькі шпіён сустрэнецца з саўдзельнікам, вы павінны напасці на іх і прывесці да {s11}.
qstr_{s11}_asked_you_to_c|{s11} просіць вас адправіцца ў {s13}, узяць у закладнікі любога тамтэйшага двараніна і прывезці яго да {s11}.
qstr_{s9}_asked_you_to_le|{s9} просіць вас пакінуць з ім вашага спадарожніка {S3} на тыдзень.
qstr_{s9}_asked_you_to_col|{s9} просіць Вас забраць {reg4} талераў у {s3}.
qstr_{s11}_gave_you_a_fak|{s11} даў (а) вам фальшывае ліст, каб {s13}, прачытаўшы яго, выгнаў свайго двараніна {s16}. Вам трэба адправіцца ў {s14}, дзе {s15} возьме ліст і аднясе яго ў горад. Пасыльны будзе думаць, што нясе цяперашні ліст.
qstr_{s9}_has_requested_y|{s9} папрасіў вас прывесці яму {s3}. Яму трэба {reg1} палонных.
qstr_Lend_your_experience|Накіруйце свайго дасведчанага хірурга {s3} да {s1}.
qstr_Then_take_it_with_my|Прымі ад мяне невялікі дар і шчырую падзяку. Ты - {высакародны чалавек / высакародная жанчына}. Я ніколі не забуду, як ты дапамог мне ў цяжкую хвіліну.
qstr_Forgive_me_{playerna|Прабач маю настойлівасць, {playername}, але ты павінен прыняць мой дар. Вазьмі, і пакінем гэтую размову.
qstr_{playername}_what_a_|{playername}, я не дазволю табе адмовіцца. Я ў вялікім абавязку перад табой. Не сумняваюся, ты знойдзеш гэтым грошай куды лепшае прымяненне, чым я.
qstr_{s11}_asked_you_to_r|{s11} папрасіла вас аб дапамозе. Яе {s17}, {s13} з {s14}, трапіў у турму. Для таго каб выратаваць яго, вам трэба будзе памяняцца з ім адзеннем і застацца там замест яго.
qstr_{s11}_asked_you_to_d|{s11} просіць вас даставіць ліст {s13}, якога трымаюць у турме ў горадзе {S14}.
qstr_You_agreed_to_challe|Вы пагадзіліся выйсці на паядынак з {s13}, каб абараніць гонар {s11}.
qstr_{s5}__Persuasion_str|{s5} (дзякуючы навыку перакананні вы зэканомілі: {reg5} талераў)
qstr_Persuasion_Attempt|Спроба перакананні
qstr_A_villager_from_{s7}|Жыхар вёскі {s7} моліць вас пазбавіць вёску ад разбойнікаў, якія пасяліліся там.
qstr_You_chose_well_{sir/|Ты зрабіў правільны выбар, {спадар / спадарыня}. Мае хлопцы ўмеюць трымаць слова і сумленна адпрацоўваюць свае грошы.
qstr_Well_done_{sir/madam|Па руках, {спадар / спадарыня}. Плаці нам спраўна ды налівай медавухі-і можаш ніякага ворага не баяцца!
qstr_We_are_at_your_servi|Мы да тваіх паслуг, {спадар / спадарыня}. Пакажы, з кім трэба разабрацца, а ўжо за намі справа не стане!
qstr_You_will_not_be_diss|Мы не падвядзем цябе, {спадар / спадарыня}. Лепшых воінаў ты на сотні вёрст у акрузе не адшукаеш.
qstr_The_Guildmaster_of_{|Гарадскі кіраўнік з {s13} просіць вас разабрацца з некалькімі зладзейскімі бандамі непадалёк ад горада.
qstr_{s9}_of_{s3}_asked_y|{s9} з {s3} просіць вас даставіць {s6} ў колькасці {reg5} штук у кабак {s4} за 7 дзён.
qstr_Escort_the_merchant_|Суправадзіць гандлёвы абоз у {s8}.
qstr_Merchant_{s9}_of_{s4|Купец {s9} з {s4} просіць вас высачыць назойлівых разбойнікаў непадалёк ад горада.
qstr_Guildmaster_of_{s4}_|Гарадскі кіраўнік з {S4} даў вам {reg12} талераў, каб заплаціць выкуп за дзяўчыну, выкрадзеную разбойнікамі. Вы павінны сустрэцца з імі каля {S3} і перадаць грошы. Пасля гэтага дзяўчыну трэба даставіць назад, у {s4}.
qstr_Guildmaster_of_{s4}_p|Гарадскі кіраўнік з {s4} паабяцаў вам {reg12} талераў за тое, каб вы прасачылі, што {s12} і {s13} не пагражаюць мірнаму дагавору паміж {s15} і {s14}. Для гэтага вам прыйдзецца альбо ўгаварыць іх, альбо захапіць у палон і ўтрымліваць датуль, пакуль не будзе заключаны мір.
qstr_The_Guildmaster_of_{s|Гарадскі кіраўнік з {s14} папрасіў вас разабрацца з групай разбойнікаў, якія тэрарызуюць вуліцы горада. Бандыты з'яўляюцца толькі па начах і нападаюць толькі на адзінокіх мінакоў.
qstr_Guildmaster_of_{s10}|Гарадскі кіраўнік з {s10} просіць вас адагнаць жывёлу ў {s13}. За гэта вы атрымаеце {reg8} талераў.
qstr_He_is_not_commanding|Цяпер пад яго камандаваннем людзей няма.
qstr_He_currently_command|Пад яго камандаваннем {reg0} чалавек {reg1?, {reg1} з іх параненыя:}.
qstr_The_elder_of_the_vil|Стараста З {s3} просіць вас прынесці ім {reg5} мяшкоў збожжа.
qstr_The_elder_of_the_vill|Стараста З {s3} просіць вас навучыць {reg5} сялян змагацца з разбойнікамі.
qstr_The_elder_of_the_villa|Стараста З {s3} просіць вас прыгнаць да іх {reg5} галоў жывёлы.
qstr_As_{s9}_said_it_woun|{s9} параіў наведаць {s10}. Кажуць, мясцовы стараста шукае адважных людзей для выканання даручэнняў рознага роду. 
qstr_OiM_The_elder_{s9}_a|Вёску Замошша даймае дашлая хеўра. Стараста даручыў вам знішчыць разбойнікаў, якія заселі ў суседнім лесе.
qstr_OiM_The_elder_{s9}_as|{s9} папрасіў вас пераканаць {s10} знізіць падаткі.
qstr_OiM_The_elder_{s9}_ask|{s9} папрасіў вас даставіць яму 3 мяшка {s10}.
qstr_OiM_The__De_la_Gardi|Новая нітачка вядзе ў {s10}. Можа, гараджане нешта бачылі. 
qstr_OiM_getman_No_skazal|Нягледзячы на тое што вы не выканалі даручэнне, стараста абмовіўся, што Евангелік у {s4}.
qstr_OiM_The__{s9}_asked_|{s9} папрасіў вас даставіць {s10} на Сеч.
qstr_OiM_nu_vot_so_shmato|Са шматам сала ў роце татарын не балюча-то пагаворыць.
qstr_OiM_Kozaki_zametii_4|Казакі заўважылі вашу здраду... 
qstr_OiM_The_{s9}_asked_y|{s9} папрасіў вас даставіць яго ў {s10}.
qstr_OiM_Kozaki_zametili_|Казакі заўважылі, што вы здрадзілі іх.
qstr_OiM_teper_mozhno_dal|Цяпер вы можаце працягнуць шлях.
qstr_OiM_Ischi_teper_yego|Да Кашавога, так да Кашавога...
qstr_OiM_The_{s9}_need_to|{s9} сказаў, што вы павінны прывесці не менш {reg0} салдат у {s10}.
qstr_OiM_Ne_uspeli_s_cona|Не паспелі вы спешыцца, як у вёску прыйшлі казакі... 
qstr_OiM_Jaz_budet_jarko|Падобна на тое, без бітвы не абысціся. Вы зможаце асабіста паглядзець, якія казакі ў баі...
qstr_OiM_{s9}_asked_you_v|{s9} папрасіў вас адправіцца ў Маскву і забраць тавары для данскіх казакоў. 
qstr_OiM_Potop_nuzhno_per|Тавар атрыманы. Засталося толькі даставіць яго {s6}.
qstr_OiM_{s9}_asked_you_t|{s9} загадаў вам перахапіць абоз са зброяй, які, па яго звестках, выйшаў з {s10} у {s11}.
qstr_OiM_{s9}_asked_you_to|{s9} папрасіў вас даставіць Клермона да караля.
qstr_OiM_{s9}_asked_you_to_|{s9} пойдзе з вамі, калі вы прывядзеце з сабой не менш за дзесятак салдат... 
qstr_OiM_{s9}_asked_you_to_b|{s9} папрасіў вас разрабаваць {s10}.
qstr_OiM_{s9}_skazal_chto|{s9} сказаў, што замовіць за вас слоўца перад гетманам.
qstr_OiM_{s9}_asked_to_br|{s9} папрасіў вас даставіць каня {s10}.
qstr_As_{s9}_said_to_get_|{s9} папрасіў вас забраць грошы з {s10} і адвезці іх Хмяльніцкаму.
qstr_As_{s9}_give_you_a_r|{s9} даў вам рэкамендацыю да {s10}.
qstr_OiM_{s9}_asked_to_lo|{s9} папрасіў вас разрабаваць тры вёскі Рэчы Паспалітай.
qstr_OIM_add_{s9}_asked_y|{s9} параіў знайсці пана Заглобу. Стары паляк, хутчэй за ўсё, п'янствуе ў якім-небудзь карчме Рэчы Паспалітай.
qstr_OIM_add_{s9}_asked_yo|{s9} папрасіў вас даставіць ліст {s11}.
qstr_OIM_add_{s9}_deliver|{s9} загадаў вам даставіць да яго палоннага шведскага салдата.
qstr_OIM_add_You_were_ask|"Польская святыня ў небяспецы! Кароль Ян Казімір загадаў вам выбіць з {s10} шведаў - ""разбойнікаў"", апаганьваюць славуты манастыр. "
qstr_OIM_add_Wam_nuzhno_o|Польская сталіца ў руках у шведаў. Вы павінны адбіць {s10} любой цаной-ад гэтага залежыць не толькі ваш лёс, але і будучыня Рэчы Паспалітай. 
qstr_OIM_add_{s9}_asked_you|{s9} папрасіў вас захапіць у палон шведскага афіцэра.
qstr_OIM_add_{s9}_asked_you_|{s9} даў вам няпростае заданне. Вы павінны дамагчыся заключэння міру паміж Рэччу Паспалітай і Крымскім ханствам. Для гэтага вы павінны пакінуць службу ў Яна Казіміра, адшукаць {s10} і прапанаваць яму сваю падтрымку ў барацьбе за трон. У абмен прымусьце яго паабяцаць, што, стаўшы ханам, ён заключыць мір з Рэччу Паспалітай. Пасадзіць прэтэндэнта на трон-задача не з простых. Вы павінны будзеце схіліць на свой бок усіх татарскіх мурз, а тых, хто адмовіцца, захапіць у палон. Да таго ж, вам трэба будзе захапіць усе гарады і крэпасці Крымскага ханства.
qstr_OIM_add_{s9}_asked_you_t|У абмен на саюз {s9} папрасіў вас захапіць два гарады Маскоўскага царства.
qstr_OiM_Potop_Pora_pogov|Вы выканалі заданне караля. Час пагаварыць з ім.
qstr_OIM_add_As_{s9}_said|"{s9} паабяцаў вярнуць вам тытул і прыняць назад на службу, калі вы заручыцеся падтрымкай шляхцічаў. Варта перагаварыць з Панам Заглобай і паспрабаваць перавабіць на свой бок хоць бы палову шляхты... Не хапала яшчэ, каб хтосьці пачаў крычаць "" nie pozwalam!""на сойме."
qstr_OiM_Potop_{s3}_prosi|{s3} папрасіў вас узяць у палон {s4}.
qstr_OiM_Potop_Shveda_slo|У пошуках шведскага палоннага.
qstr_OiM_Potop_Borzobagat|Вам стала вядома, што Борзобогатая знаходзіцца ў {s5}.
qstr_{s4}_{s2}|{s4}, {s2}
qstr_{s5}_{s2}|{s5}, {s2}
qstr_OIM_add_Nu_polkiy_se|Сойм быў скліканы. Зараз трэба толькі дачакацца вынікаў.
qstr_OIM_add_Nu_vot_teper|Цяпер {S7} хоча, каб вы захапілі {S3}, {s4}, {s5} і {s6}.
qstr_OIM_add__{s2}_hochet|Кароль хоча, каб вы ўзялі ў палон {s3}.
qstr_OIM_add__Teper_pora_|Пара сабраць апалчэнне супраць караля, каб нарэшце-то пасадзіць на трон годнага. Для пачатку вам трэба заручыцца падтрымкай шляхты...
qstr_OIM_add__Teper_kogda|Ян Казімір выклікаў у свае землі наймітаў. Трэба спыніць іх перш, чым яны спустошаць хаця б адзін горад Рэчы Паспалітай.
qstr_{s4}.|{s4}.
qstr_OiMP2_str_qst_potop_|Цяжкія часы надышлі для Рэчы Паспалітай. З усіх бакоў яе атачаюць ворагі-шведы, маскавіты, казакі... Польшчы патрэбен герой, які ўстане на шляху ў шведскага патопу, прымусіць свавольную шляхту адумацца і выступіць адзінай сілай на пагібель ворагам...
qstr_OIM_add_getman__{s4}|{s4} хоча, каб вы абаранілі {S3} ад нападу.
qstr_OIM_add_getman__star|Нажаль, Стары не паспеў расказаць усяго... Можа быць, хтосьці яшчэ ведае пра чорнага Гетмана?
qstr_OiM_add_Nu_teper_por|Вам удалося знайсці зачэпку. Магчыма, дэ Клермон нешта ведае пра чорнага гетмана.
qstr_OIM_add_getman__{s5}|Клермон сказаў, што чуў пра чорнага гетмана ад {S5}.
qstr_OIM_add__chtobi_uzna|Вам удалося высветліць, што таямніцу Чорнага Гетмана можа ведаць {s3}. Трэба падняць паўстанне супраць {S4}, каб дапамагчы {s3} захапіць трон.
qstr_OIM_add__{s3}_prosil_|{s3} папрасіў вас перагаварыць з кіеўскім кіраўніком.
qstr_OIM_add_Kiev_{s3}_pr|Трэба вярнуць Кіеў ва ўладанні {s3}.
qstr_OIM_add__Net_zolota_|Магчыма, кіеўскі кіраўнік нешта ведае. Але няма срэбра - няма інфармацыі.
qstr_OIM_add__Nu_chto_zhe|Казак меў рацыю, Радзівіл усё ж такі замяшаны ў гісторыі з чорным гетманам. Пара задаць яму некалькі пытанняў. 
qstr_OIM_add__{s3}_hochet|Так і не адказаўшы ні на адно ваша пытанне, {s3} папрасіў вас узяць у палон татарскага мурзу.
qstr_OIM_add__pora_iskat_|У мурзы вы выявілі ліст, у якім паведамляецца, што ў архівах тампліераў ёсць згадка пра чорнага гетмана. Ёсць сэнс азнаёміцца з імі ў {s20}. 
qstr_OIM_add_Kyazya_Olgov|Выдаткаваўшы шмат часу на чытанне архіваў, вы даведаліся, што да гісторыі пра чорнага Гетмана маюць дачыненне нейкія князі Ольгавічы.
qstr_OIM_add__nuzhno_vitr|А мужык-то незгаворлівы. Вам трэба неяк прымусіць яго гаварыць.
qstr_OIM_add_getman__Pora|Яшчэ адна падказка і яшчэ адна таямніца - Воранава кніга!
qstr_OiM_getman_Knigu_moz|Кнігу проста так не прачытаць. Трэба знайсці вучонага мужа... Магчыма, вялебны Пафнутий з {s6} зможа яе перавесці. 
qstr_OiM_getman_Nuzhno_pe|Пафнутий згодны перавесці кнігу, але для гэтага яму патрэбныя архівы ў {s3}.
qstr_OiM_getman_Kniga_na_|Вы даставілі Пафнутия да архіваў. Засталося пачакаць, пакуль ён перавядзе кнігу...
qstr_OIM_add_getman__Koza|Кажуць, казак Мамай ведае шмат легенд. Трэба звярнуцца да яго па дапамогу...
qstr_OIM_add_getman__Bara|Аказалася, што гетман Барабаш жывы. Ён можа быць вам карысны.
qstr_OIM_add_getman__Nu_c|У вас з'явіўся план: прабрацца да Радзівіла пад выглядам найміта і паспрабаваць яго забіць...
qstr_{s1}_s_tomb|Тут спачывае {s1}
qstr_OIM_add_getman__Chto|Вы падтрымалі Барабаша, і зараз вам трэба заручыцца падтрымкай як мінімум паловы казацкіх палкоўнікаў, каб атрымаць уплыў і вярнуць пернач гетмана Барабашу.
qstr_OIM_add_getman__tepe|Цяпер, калі вы далучыліся да казакоў, Мамай паспрабуе пераканаць Хмяльніцкага зрабіць вас маршалам. Зараз вам застаецца толькі пачакаць, пакуль гэтае пытанне не будзе вырашана.
qstr_OIM_add_getman__{s5}_|{s5} сказаў, што абоз выйшаў з {s3} і ідзе ў {s4}. Магчыма, Хмяльніцкі мае рацыю. 
qstr_OIM_add_getman_Bilo_|Вы вырашылі не хітрыць з дыпламатыяй і адправілі ганца, каб паведаміць пра свае намеры...
qstr_Velikoye_Knyazestvo_|Вялікае княства Русь
qstr_OIM_add_getman_Koron|Спачатку Чорны Гетман, цяпер карона Вітаўта... Што ні дзень, то новыя загадкі.
qstr_Mamay|Мамай
qstr_Nu_chto_zhe_budem_tr|Карона, падобна, у {s3}. Трэба будзе прабрацца ў манастырскае падзямелле і забраць карону...
qstr_OIM_add_getman_od_mo|Ад мора да мора, такая воля новага вялікага князя...
qstr_OIM_add_getman__Nu_ch|Шлях да пасаду поўны перашкод і перашкод, і смельчаку, які адважыўся зрынуць цара-бацюшку і заняць яго месца, спатрэбіцца розум незвычайны ды смеласць вялікая. Ён не павінен баяцца ў страшных войнах біцца ды кроў нявінных праліваць.
qstr_OiM_dmitriy_Teper_kog|{s4} абражаны вашым адмовай дапамагчы яму. Наўрад ці ён захоча распавядаць пра падзеі Смутнага часу. 
qstr_OIM_add_getman__Nuzhn|Вам удалося даведацца, што нейкі Герасім Евангелік можа многае распавесці вам пра Лжэдзмітрыя. Герасіма трэба шукаць у {s3}.
qstr_OiM_The_elder_{s9}_s|{s9} сказаў, што ксёндз у {s10}. Паспрабуйце пагаварыць з гараджанамі-можа, яны яго бачылі. 
qstr_OiM_getman_Yavangeli|Вы высветлілі, што Евангелік ў {s4}.
qstr_OIM_add_getman__Nuzhno|Перад смерцю Герасім пакараў пагаварыць з {s3}.
qstr_OiM_The_{s9}_prosil_|{s9} папрасіў вас забраць Элеанору з {s10} і адвезці да {s11}.
qstr_OiM_The_{s9}_prosilf|{s9} папрасіла вас адвесці яе да {s11}.
qstr_OiM_The_{s9}_prosilf_|{s9} папрасіў вас даставіць ліст {s11}.
qstr_OiM_The_{s9}_prosil_v|{s9} папрасіў вас даставіць ліст {s11}.
qstr_OiM_The_{s11}_dobriy|{s11} - чалавек сур'ёзны. Не стаў слухаць вашыя тлумачэнні, адразу адправіў вас на допыт.
qstr_OiM_The_Nu_chto_zhe_|Цяпер, калі вы пазбавіліся моцнага заступніка, у вас няма выбару - прыйдзецца ісці да {s11}.
qstr_OiM_Alevtina_v_Kafe_|Аляўціна ў палоне ў кафэ.
qstr_OiM_pohozhe_alevtinu|Проста так мурза з Аляўцінай не растанецца. Мабыць, вам прыйдзецца ўжыць сілу...
qstr_OiM_getman_Pohozhe_b|Падобна на тое, Разін не жартаваў пра новага цара... Значыць, так таму і быць.
qstr_OiM_Teper_kogda_ya_p|Цяпер, калі вы сталі прэтэндэнтам на трон, вы павінны пераканаць баяраў у тым, што ў вас ёсць права быць кіраўніком.
qstr_{s5}.|{s5}.
qstr_{s3}|{s3}
qstr_{s2}_{s3}|{s2}, {s3}
qstr_I_can_smell_a_fat_pu|Тугі кашэль я чую за вярсту. Прыйдзецца табе трохі палегчыць яго, ты ўжо не обессудь.
qstr_Why_it_be_another_tr|Ты глядзі! На гэтай дарозе звычайна жывой душы не сустрэнеш, а тут... У тутэйшых месцах жудасць як небяспечна, асабліва для такіх слаўных {спадароў / дзяўчат}, як ты. Але калі ты ледзь прыплаціш мне і маім хлопцам, то дабярэшся куды трэба цэлым і цэлым!
qstr_Well_well_look_at_th|Добры будзь, спадар добры! Бачу, кашэль твой балюча цяжкі. Адлічы-ка нам срэбра па гонару ды разыдземся светам!
qstr_There_s_a_toll_for_p|За праезд па гэтай дарозе мы бярэм пошліну. Так што Гані серебришко, а не тое самі забярэм, колькі трэба.
qstr_Another_fool_come_to|Яшчэ {адзін / адна} жадае памерці ад маіх рук? Ну што ж, давай!
qstr_We_re_not_afraid_of_|Мы цябе не баімся! Цяпер ты пазбавішся сваёй благой галавы!
qstr_That_was_a_mistake._|Дарма ты гэта. Цяпер мне прыйдзецца доўга і пакутліва цябе забіваць.
qstr_Brave_words._Let_s_s|Смець. Паглядзім, як ты справай пацвердзіш свае словы!
qstr_A_{s5}?_Well..._Yes_|{s5}? Ну, напэўна, так. Дзіўнае пытанне.
qstr_Eh?_No_it_most_certa|Што? Не, гэта зусім не {s5}. У вас відавочна са зрокам дрэнна.
qstr_This_is_the_{reg4?to|Гэта {reg4?горад: вёска} {s5}, {спадар / спадарыня}.
qstr_{s6}_Our_{reg4?town:|{s6} {reg4?Гэты горад: гэтая вёска} і прылеглыя землі, зразумела, належаць вам, {спадар / спадарыня}.
qstr_{s6}_Our_{reg4?town:v|{s6} {reg4?Гэты горад: гэтая вёска} і прылеглыя землі належаць {s7} з {s8}.
qstr_{s3}_and_{s5}|{s3} і {s5}
qstr_{s3}_{s5}|{s3}, {s5}
qstr_{reg20?We_mostly_pro|{reg20?Ты можаш купіць у нас {s5}: цяпер мы амаль нічога не вырабляем}. Наш {reg4?гарадскі кіраўнік: старэйшына} можа куды лепш табе ўсё расказаць. Вунь ён там, недалёка.
qstr__U_Vas_maximalnovozm|Падобна на тое, ты і так набраў Поўны атрад, пане. Што-небудзь яшчэ?
qstr__U_Vas_ne_hvataet_de|У цябе замала грошай, каб аплаціць наймітаў, пане! Што-небудзь яшчэ?
qstr___Skolko_naemnikov_n|Колькі людзей табе трэба?
qstr__U_vas_netu_etogo_ti|Табе няма каго пераўзбройваць, пане. Што-небудзь яшчэ?
qstr__Viberite_razdel|Ну выбірай, пане. Што Тваім малайчынам трэба?
